iter	MultiClass
0	1.049403793
1	1.005006368
2	0.9707088711
3	0.9393633199
4	0.9149526428
5	0.886891349
6	0.8650283664
7	0.846745283
8	0.8282050014
9	0.8064189633
10	0.7868447527
11	0.7729256835
12	0.7600670351
13	0.7471000002
14	0.732070808
15	0.7205920377
16	0.7069017486
17	0.6962114094
18	0.6858669434
19	0.6783545027
20	0.6679019753
21	0.6579573454
22	0.649731498
23	0.6398604771
24	0.6301118173
25	0.6240202167
26	0.6156223728
27	0.6088209968
28	0.6038442796
29	0.5973898952
30	0.5917702469
31	0.585330267
32	0.5800797753
33	0.5757139728
34	0.5716948258
35	0.5654790452
36	0.5610952462
37	0.5558872105
38	0.5515676543
39	0.5468426917
40	0.5429938688
41	0.5375835667
42	0.5337655217
43	0.5304465657
44	0.5275697517
45	0.5230528155
46	0.5202577319
47	0.5158322511
48	0.5130634111
49	0.5101776543
50	0.5070242686
51	0.5043657041
52	0.5026799814
53	0.5012694518
54	0.4980638071
55	0.4950023955
56	0.4922165848
57	0.4901644941
58	0.4875418885
59	0.4845005728
60	0.4822165944
61	0.4798050839
62	0.4771797459
63	0.4755749427
64	0.4726923551
65	0.4706440045
66	0.4687160699
67	0.46600151
68	0.4644352105
69	0.4630232087
70	0.4608880604
71	0.4588926358
72	0.4567730874
73	0.4545798589
74	0.4532087332
75	0.4512340528
76	0.4488846289
77	0.4468951402
78	0.4450466573
79	0.4427080965
80	0.4413868858
81	0.4398747049
82	0.4377801147
83	0.4355039472
84	0.433341097
85	0.4317218059
86	0.4295694395
87	0.4282798698
88	0.4265279067
89	0.4248573325
90	0.4224392058
91	0.4203964055
92	0.4185853038
93	0.4163996593
94	0.4147951486
95	0.4137553583
96	0.4125778855
97	0.4102391263
98	0.4083366045
99	0.4068907996
100	0.4054930072
101	0.404364975
102	0.4027355694
103	0.401834349
104	0.4003568351
105	0.3986960318
106	0.3974726315
107	0.3953508172
108	0.3935267311
109	0.3918657692
110	0.3902830891
111	0.3891335653
112	0.3874327941
113	0.3857743979
114	0.3846449902
115	0.3834198936
116	0.3821065709
117	0.3806247601
118	0.37898851
119	0.3775445852
120	0.3761381133
121	0.3747847968
122	0.3737108637
123	0.3716771993
124	0.3708013513
125	0.3697290035
126	0.367987203
127	0.3667301594
128	0.3654075678
129	0.3644033774
130	0.3626352089
131	0.3612377083
132	0.359794526
133	0.3585311011
134	0.3566723082
135	0.3554770256
136	0.3539063574
137	0.3530297731
138	0.3519945717
139	0.3507901223
140	0.3499007375
141	0.3487179452
142	0.3474904918
143	0.3463448008
144	0.3451602012
145	0.3441524672
146	0.3431422727
147	0.3422819616
148	0.3408307248
149	0.3400337013
150	0.3390305614
151	0.3383298654
152	0.3373536108
153	0.3358618216
154	0.3349154352
155	0.3345117599
156	0.3331394452
157	0.3322269867
158	0.331321861
159	0.3304309163
160	0.3291825006
161	0.328314267
162	0.3272583318
163	0.3261083034
164	0.3252332168
165	0.3245832523
166	0.3237792598
167	0.3228509403
168	0.3216494123
169	0.3200267398
170	0.3188419164
171	0.3177649852
172	0.316377441
173	0.3147945108
174	0.3137935384
175	0.3128900335
176	0.3117524231
177	0.3107568401
178	0.309896748
179	0.3091295771
180	0.3077183686
181	0.3069668434
182	0.3058389836
183	0.3047147273
184	0.3039194495
185	0.3025205906
186	0.3017419848
187	0.3008622011
188	0.2999180259
189	0.2990585396
190	0.298427732
191	0.2978509578
192	0.2971214896
193	0.2965021193
194	0.2952017906
195	0.2944774836
196	0.2935770328
197	0.292665379
198	0.2920803046
199	0.2911384736
200	0.2903817715
201	0.2893818538
202	0.2887208202
203	0.2878279546
204	0.2870740312
205	0.2863640796
206	0.2855776215
207	0.2849310227
208	0.2841688065
209	0.2828541594
210	0.2822142832
211	0.2814974255
212	0.2806901071
213	0.2800131468
214	0.2792729033
215	0.2785758693
216	0.2777438822
217	0.2772687957
218	0.276673831
219	0.2759815669
220	0.2753658148
221	0.2746930223
222	0.2742350675
223	0.273197247
