iter	Passed	Remaining
0	2	2979
1	5	2825
2	8	2685
3	11	2859
4	14	2894
5	17	2938
6	20	2883
7	24	2979
8	26	2971
9	31	3103
10	34	3117
11	37	3111
12	40	3080
13	44	3146
14	47	3102
15	50	3126
16	53	3076
17	56	3079
18	59	3052
19	61	3027
20	64	3026
21	67	3006
22	70	2998
23	73	2983
24	76	2991
25	79	2980
26	84	3028
27	86	3018
28	89	3010
29	93	3019
30	96	3026
31	99	3003
32	105	3080
33	108	3088
34	111	3078
35	114	3061
36	117	3054
37	120	3043
38	123	3034
39	125	3011
40	128	3011
41	131	2996
42	134	2989
43	136	2972
44	140	2972
45	142	2950
46	144	2933
47	147	2928
48	149	2910
49	152	2895
50	154	2876
51	156	2857
52	160	2861
53	163	2856
54	165	2848
55	168	2848
56	171	2832
57	174	2828
58	176	2816
59	179	2804
60	181	2791
61	183	2779
62	186	2766
63	188	2752
64	190	2742
65	193	2734
66	195	2720
67	198	2714
68	200	2709
69	203	2700
70	206	2701
71	209	2694
72	211	2690
73	214	2688
74	217	2679
75	220	2676
76	222	2667
77	225	2660
78	227	2650
79	229	2639
80	231	2629
81	233	2618
82	236	2607
83	238	2600
84	240	2591
85	243	2582
86	246	2587
87	248	2578
88	252	2585
89	255	2579
90	257	2574
91	260	2574
92	263	2566
93	266	2571
94	269	2567
95	273	2570
96	275	2566
97	279	2569
98	281	2566
99	285	2571
100	288	2564
101	290	2559
102	293	2551
103	295	2545
104	298	2542
105	300	2534
106	303	2530
107	305	2523
108	307	2515
109	310	2515
110	313	2507
111	315	2499
112	318	2497
113	320	2490
114	323	2492
115	327	2493
116	329	2489
117	333	2489
118	335	2483
119	338	2481
120	340	2474
121	343	2471
122	345	2465
123	348	2465
124	351	2459
125	353	2454
126	357	2457
127	359	2450
128	361	2443
129	364	2440
130	366	2434
131	369	2432
132	372	2428
133	374	2422
134	377	2419
135	379	2412
136	382	2407
137	384	2400
138	387	2399
139	390	2398
140	392	2393
141	395	2388
142	398	2386
143	400	2381
144	403	2377
145	405	2371
146	407	2365
147	410	2361
148	412	2358
149	415	2355
150	418	2350
151	420	2344
152	423	2345
153	425	2339
154	428	2333
155	430	2331
156	433	2325
157	435	2321
158	437	2315
159	440	2310
160	442	2308
161	446	2308
162	448	2304
163	451	2300
164	453	2295
165	456	2291
166	458	2285
167	460	2281
168	463	2278
169	465	2273
170	467	2268
171	470	2262
172	472	2258
173	476	2261
174	479	2260
175	483	2263
176	486	2260
177	489	2259
178	492	2256
179	494	2252
180	496	2248
181	499	2243
182	502	2242
183	504	2237
184	507	2234
185	509	2231
