iter	MultiClass
0	1.047442467
1	1.002148362
2	0.9628401699
3	0.9283389135
4	0.8927092125
5	0.861264147
6	0.8330216555
7	0.8106652023
8	0.7897667259
9	0.7680108471
10	0.7496880564
11	0.7308573292
12	0.7145202101
13	0.6974568704
14	0.6826949686
15	0.6690322403
16	0.6582789085
17	0.6460135624
18	0.6352812127
19	0.6245639391
20	0.6146317239
21	0.6067944518
22	0.5968816085
23	0.5909804434
24	0.5815923471
25	0.5705334348
26	0.5620175035
27	0.5546143069
28	0.5488315445
29	0.5422071821
30	0.5375309048
31	0.5302826763
32	0.524444237
33	0.5199712975
34	0.5144824993
35	0.5102482484
36	0.5052996527
37	0.4992372475
38	0.4924284644
39	0.4869077783
40	0.4814395803
41	0.4767774623
42	0.471456116
43	0.4675306377
44	0.465205281
45	0.460919817
46	0.4570765943
47	0.4524638483
48	0.4490438024
49	0.4469158469
50	0.4447217513
51	0.4419695923
52	0.4400650548
53	0.4380562605
54	0.4352183004
55	0.4325991393
56	0.4288022108
57	0.4262515254
58	0.4232218968
59	0.419696693
60	0.4170126723
61	0.413707501
62	0.4111256366
63	0.4084534431
64	0.4056768964
65	0.4036089905
66	0.4014230388
67	0.3979878768
68	0.3952919113
69	0.3927065711
70	0.3914810315
71	0.3891539264
72	0.387143559
73	0.3837263637
74	0.3815036974
75	0.3803072244
76	0.3780741614
77	0.375352437
78	0.3733228061
79	0.3723876756
80	0.3698229823
81	0.3684335045
82	0.3662607257
83	0.3641740923
84	0.3623079243
85	0.3607181594
86	0.3587990341
87	0.3563866077
88	0.353815001
89	0.352457445
90	0.3502680454
91	0.3482965557
92	0.3469167203
93	0.3445420226
94	0.3430430137
95	0.3411237272
96	0.3392024708
97	0.3372415283
98	0.3356044547
99	0.3342886054
100	0.3327749958
101	0.3308205897
102	0.3294606593
103	0.3283224423
104	0.3269296534
105	0.3258346144
106	0.3243391158
107	0.322745046
108	0.3212968271
109	0.3203812068
110	0.319004478
111	0.317286736
112	0.315374222
113	0.3144310691
114	0.3129751561
115	0.3121366507
116	0.3107542077
117	0.3089175204
118	0.3076392982
119	0.3066338617
120	0.3052960938
121	0.3037737685
122	0.3023254176
123	0.3010344819
124	0.2997956142
125	0.2987457463
126	0.29775819
127	0.2965181796
128	0.2956810795
129	0.2943081923
130	0.2933620462
131	0.2921736433
132	0.2912694156
133	0.2901389708
134	0.2889210263
135	0.2880243837
136	0.2866572958
137	0.2851726021
138	0.2842772838
139	0.2829512994
140	0.2815247309
141	0.2809509197
142	0.2798975753
143	0.279279433
144	0.2780536875
145	0.2770697521
146	0.2759437063
147	0.2749465279
148	0.2743796752
149	0.2736868225
150	0.2724378211
151	0.2714795619
152	0.2706115749
153	0.2698603934
154	0.267926046
155	0.2673985173
156	0.2667604781
157	0.2657820943
158	0.2645467903
159	0.263393134
160	0.2626950506
161	0.2620991484
162	0.2607363883
163	0.2600237494
164	0.2592433979
165	0.2586217108
166	0.257149521
167	0.2566055788
168	0.2557572796
169	0.2542343384
170	0.2535373526
171	0.2530521275
172	0.2521953618
173	0.2507552035
174	0.2498826804
175	0.2489556306
176	0.2480080734
177	0.247296021
178	0.2462530746
179	0.2449949384
180	0.2440304261
181	0.2432881051
182	0.2426014649
183	0.2415205193
184	0.2410032319
185	0.2399490511
186	0.2389825793
187	0.238018208
188	0.2370409
189	0.23606115
190	0.2356299505
191	0.2351830608
192	0.234586487
193	0.2341085337
194	0.2332365158
195	0.2323640431
196	0.2316869395
197	0.2306394645
198	0.2298739328
199	0.2293022739
200	0.2282609439
201	0.2274791338
202	0.2269588451
203	0.2260716424
204	0.2256654806
205	0.2248998228
206	0.2239279869
207	0.2234161072
208	0.2231335207
209	0.2227386529
210	0.2219147375
211	0.221312074
212	0.2205488304
213	0.2196283706
214	0.2187771991
215	0.2183093572
216	0.2177783924
217	0.2174155954
218	0.2168927327
219	0.2157929537
220	0.2152067655
221	0.213944657
222	0.2136478901
223	0.2128239309
224	0.2120050418
225	0.2112588775
226	0.2102700924
227	0.2098759911
228	0.2093331061
229	0.2090047062
230	0.2087385
231	0.208071319
232	0.2074356961
233	0.2073055674
234	0.2066932848
235	0.2059569217
236	0.2054835132
237	0.2045679381
238	0.2039062612
239	0.2032101049
240	0.2029860458
241	0.2029168144
242	0.2021287732
243	0.2018395596
244	0.2014250612
245	0.2011533963
246	0.2008978288
247	0.2003926439
248	0.2000061093
249	0.1994375208
250	0.1991770652
251	0.1984368587
252	0.198392622
253	0.1981344112
254	0.1974612219
255	0.1967611851
256	0.1964754116
257	0.195901619
258	0.1950213801
259	0.1944547047
260	0.1941939112
261	0.1933897181
262	0.1927503912
263	0.1920318227
264	0.1916829695
265	0.1913197592
266	0.1910534275
267	0.1904279167
268	0.1901246039
269	0.1894771522
270	0.1886099528
271	0.1880249402
272	0.1874978595
273	0.1869461164
274	0.1864390267
275	0.1860846044
276	0.1859320247
277	0.1855393955
278	0.1854476079
279	0.1852397215
280	0.1846848165
281	0.1837611314
282	0.1829949859
283	0.1824437392
284	0.1822371805
285	0.1817131653
286	0.1815740745
287	0.1808594971
288	0.1804360299
289	0.1802716842
290	0.1796142173
291	0.1786892645
292	0.1783489113
293	0.1782847642
294	0.1781272939
295	0.1776699138
296	0.1768577989
297	0.1763222807
