iter	Passed	Remaining
0	2	2501
1	5	2565
2	7	2437
3	9	2327
4	11	2359
5	14	2377
6	16	2399
7	19	2376
8	21	2361
9	24	2377
10	26	2350
11	28	2316
12	30	2339
13	33	2336
14	35	2309
15	37	2323
16	40	2314
17	42	2292
18	44	2313
19	46	2292
20	48	2273
21	51	2275
22	53	2263
23	55	2250
24	57	2256
25	59	2243
26	61	2230
27	64	2236
28	66	2223
29	68	2210
30	70	2214
31	73	2210
32	75	2201
33	77	2210
34	79	2200
35	81	2187
36	84	2190
37	86	2184
38	88	2179
39	91	2184
40	93	2180
41	95	2172
42	97	2181
43	100	2173
44	101	2164
45	104	2169
46	106	2162
47	108	2153
48	110	2154
49	113	2151
50	115	2145
51	117	2144
52	119	2139
53	121	2131
54	124	2134
55	126	2127
56	128	2120
57	130	2121
58	132	2115
59	134	2111
60	137	2114
61	139	2108
62	141	2102
63	143	2101
64	145	2095
65	147	2091
66	150	2091
67	152	2086
68	154	2081
69	156	2079
70	158	2074
71	160	2069
72	162	2065
73	165	2068
74	167	2063
75	169	2060
76	171	2056
77	173	2050
78	175	2046
79	178	2047
80	182	2068
81	185	2075
82	187	2072
83	190	2076
84	192	2071
85	194	2068
86	197	2068
87	199	2063
88	201	2059
89	203	2058
90	205	2054
91	207	2049
92	210	2050
93	212	2045
94	214	2040
95	216	2038
96	218	2034
97	220	2028
98	222	2024
99	225	2028
100	227	2023
101	229	2023
102	231	2019
103	233	2014
104	236	2012
105	238	2007
106	240	2004
107	242	2000
108	244	1998
109	246	1994
110	248	1990
111	250	1988
112	252	1984
113	255	1982
114	257	1981
115	259	1977
116	261	1973
117	263	1972
118	265	1968
119	267	1963
120	270	1966
121	272	1962
122	274	1958
123	276	1956
124	278	1952
125	280	1948
126	283	1948
127	285	1945
128	287	1941
129	290	1941
130	292	1937
131	294	1933
132	296	1931
133	298	1927
134	300	1925
135	302	1922
136	304	1918
137	306	1914
138	308	1910
139	310	1908
140	312	1904
141	314	1902
142	317	1902
143	319	1898
144	321	1895
145	323	1893
146	325	1889
147	327	1885
148	330	1888
149	332	1884
150	334	1880
151	336	1879
152	338	1875
153	340	1872
154	343	1870
155	345	1869
156	347	1866
157	350	1865
158	352	1862
159	354	1858
160	356	1858
161	358	1855
162	360	1853
163	363	1852
164	365	1849
165	367	1845
166	369	1845
167	371	1841
168	373	1838
169	376	1839
170	378	1836
171	380	1832
172	383	1831
173	385	1828
174	387	1824
175	389	1823
176	391	1820
177	393	1816
178	395	1813
179	397	1810
180	399	1807
181	401	1805
182	403	1802
183	405	1799
184	407	1797
185	410	1796
186	412	1793
187	414	1790
188	417	1790
189	419	1786
190	421	1784
191	423	1783
192	425	1780
193	427	1777
194	430	1776
195	432	1773
196	434	1771
197	437	1774
198	440	1771
199	442	1770
200	444	1768
201	446	1765
202	449	1763
203	451	1762
204	453	1759
205	456	1759
206	458	1756
207	460	1753
208	463	1753
209	465	1750
210	467	1747
211	470	1747
212	472	1744
213	473	1740
214	476	1740
215	478	1737
216	480	1733
217	483	1734
218	485	1732
219	487	1729
220	490	1728
221	492	1725
222	494	1722
223	496	1721
224	499	1718
225	501	1715
226	503	1714
227	505	1711
228	507	1708
229	510	1707
230	512	1705
231	514	1702
232	516	1701
233	518	1697
234	520	1694
235	523	1694
236	525	1691
237	527	1688
238	529	1687
239	532	1684
240	533	1681
241	536	1680
242	538	1678
243	540	1675
244	543	1675
245	545	1672
246	548	1670
247	550	1669
248	552	1666
249	554	1664
250	557	1662
251	559	1659
252	561	1657
253	563	1655
254	565	1652
255	567	1649
256	570	1648
257	572	1645
258	574	1642
259	576	1641
260	578	1638
261	580	1635
262	583	1634
263	585	1631
264	587	1629
265	590	1628
266	592	1625
267	594	1623
268	597	1622
269	599	1620
270	601	1618
271	604	1617
272	606	1614
273	609	1615
274	611	1612
275	613	1609
276	616	1609
277	618	1607
278	621	1604
279	623	1603
280	625	1601
281	628	1601
282	631	1599
283	633	1597
284	636	1597
285	639	1595
286	641	1594
287	644	1593
288	646	1590
289	650	1592
290	652	1590
291	656	1592
292	658	1590
293	661	1588
294	663	1586
295	666	1584
296	669	1585
297	672	1583
298	674	1581
299	677	1579
300	679	1577
301	682	1577
302	684	1575
303	686	1572
304	689	1571
305	691	1568
306	694	1567
307	696	1565
308	699	1563
309	702	1562
310	704	1560
311	706	1558
312	709	1557
313	712	1555
314	714	1554
315	717	1552
316	719	1549
317	721	1548
318	724	1545
319	726	1543
320	729	1542
321	731	1539
322	733	1537
323	736	1536
324	738	1533
325	741	1532
326	744	1531
327	746	1529
328	749	1527
329	751	1525
330	753	1522
331	756	1522
332	758	1519
333	761	1518
334	763	1515
335	765	1513
336	768	1512
337	770	1510
338	773	1507
339	775	1506
340	777	1503
341	780	1501
342	782	1499
343	784	1496
344	787	1494
345	789	1492
346	791	1489
347	794	1489
348	797	1486
349	799	1484
350	802	1483
351	804	1481
352	807	1479
353	809	1477
354	811	1474
355	814	1474
356	817	1471
357	819	1468
358	821	1467
359	824	1465
360	827	1463
361	829	1461
362	831	1459
363	834	1458
364	837	1456
365	839	1453
366	841	1452
367	843	1449
368	846	1447
369	849	1445
370	851	1443
371	854	1442
372	856	1439
373	858	1436
374	861	1435
375	863	1432
376	865	1429
377	867	1427
378	869	1424
379	871	1422
380	874	1420
381	876	1417
382	878	1414
383	881	1413
384	883	1411
385	885	1409
386	888	1407
387	890	1405
388	893	1403
389	896	1401
390	898	1399
391	901	1398
392	903	1395
393	905	1392
394	908	1391
395	910	1389
396	913	1387
397	915	1385
398	917	1382
399	920	1380
400	922	1377
401	924	1374
402	927	1373
403	929	1370
404	931	1368
405	934	1366
406	936	1363
407	938	1361
408	940	1359
409	942	1356
410	945	1354
411	947	1352
412	949	1349
413	951	1347
414	954	1345
415	956	1343
416	958	1340
417	961	1338
418	963	1336
419	965	1333
420	968	1331
421	970	1328
422	972	1326
423	974	1324
424	976	1321
425	979	1319
426	981	1317
427	983	1315
428	987	1314
429	989	1311
430	991	1308
431	993	1306
432	995	1303
433	997	1301
434	1000	1299
435	1002	1296
436	1004	1293
437	1006	1291
438	1008	1289
439	1010	1286
440	1013	1284
441	1015	1282
442	1017	1279
443	1020	1277
444	1022	1274
445	1024	1272
446	1026	1270
447	1028	1267
448	1030	1264
449	1033	1263
450	1035	1260
451	1037	1257
452	1040	1256
453	1042	1254
454	1044	1251
455	1047	1249
456	1049	1246
457	1051	1244
458	1053	1242
459	1055	1239
460	1058	1237
461	1060	1235
462	1062	1232
463	1065	1230
464	1067	1228
465	1069	1225
466	1072	1224
467	1075	1222
468	1077	1219
469	1079	1217
470	1082	1215
471	1084	1212
472	1086	1211
473	1089	1208
474	1091	1205
475	1093	1203
476	1095	1201
477	1097	1198
478	1100	1196
479	1102	1194
480	1104	1191
481	1106	1189
482	1108	1186
483	1110	1184
484	1113	1182
485	1115	1179
486	1117	1177
487	1119	1175
488	1121	1172
489	1124	1169
490	1126	1167
491	1128	1165
492	1130	1162
493	1134	1162
494	1137	1160
495	1140	1158
496	1142	1156
497	1144	1153
498	1147	1152
499	1150	1150
500	1153	1148
501	1155	1146
502	1158	1144
503	1160	1142
504	1162	1139
505	1165	1137
506	1167	1135
507	1169	1132
508	1172	1130
509	1174	1128
510	1176	1125
511	1179	1123
512	1181	1121
513	1183	1118
514	1186	1117
515	1188	1114
516	1190	1112
517	1193	1110
518	1195	1107
519	1197	1105
520	1200	1103
521	1201	1100
522	1204	1098
523	1206	1095
524	1208	1093
525	1210	1091
526	1212	1088
527	1214	1086
528	1217	1083
529	1219	1081
530	1221	1078
531	1223	1076
532	1226	1074
533	1228	1071
534	1230	1069
535	1232	1067
536	1234	1064
537	1236	1061
538	1239	1060
539	1241	1057
540	1243	1055
541	1246	1053
542	1248	1050
543	1250	1048
544	1252	1045
545	1255	1043
546	1258	1041
547	1260	1039
548	1262	1036
549	1264	1034
550	1266	1032
